id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
178865;CaboSabino;Cabo Sabino;pr;CE;0;1;3;1;1;1;1;0;0;0;3;1;0;1;1;0;1;1;1;1
93083;CacaLeao;Cacá Leão;pp;BA;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0
178853;Caetano;Caetano;pt;BA;0;1;1;3;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
178891;CaioNarcio;Caio Narcio;psdb;MG;1;1;0;1;1;1;1;1;1;0;1;1;NA;0;0;1;0;3;0;1
178829;CapitaoAugusto;Capitão Augusto;pr;SP;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1
178958;CarlosAndrade;Carlos Andrade;phs;RR;3;1;1;3;1;1;1;1;1;1;1;3;0;1;0;1;0;3;0;1
141401;CarlosBezerra;Carlos Bezerra;pmdb;MT;1;1;1;3;0;0;1;1;3;0;1;1;1;1;1;1;0;1;1;1
178962;CarlosGomes;Carlos Gomes;prb;RS;1;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;0;1;1;1
178993;CarlosHenriqueGaguim;Carlos Henrique Gaguim;pmdb;TO;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
74163;CarlosManato;Carlos Manato;solidaried;ES;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1
178900;CarlosMarun;Carlos Marun;pmdb;MS;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
74651;CarlosMelles;Carlos Melles;dem;MG;1;3;1;1;1;1;1;1;1;1;1;0;1;3;1;0;1;1;0;1
74262;CarlosSampaio;Carlos Sampaio;psdb;SP;3;3;3;1;1;1;1;1;3;0;1;1;1;0;0;1;0;1;0;1
141398;CarlosZarattini;Carlos Zarattini;pt;SP;1;1;1;0;0;0;0;0;0;0;0;1;3;1;1;1;0;3;0;0
164360;CarmenZanotto;Carmen Zanotto;pps;SC;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1
